MIC,DIA,lowerCens,upperCens
16,6,0,1
16,6,0,1
16,6,0,1
16,6,0,1
16,6,0,1
16,6,0,1
16,6,0,1
16,6,0,1
16,6,0,1
16,6,0,1
16,6,0,1
16,6,0,1
16,6,0,1
16,6,0,1
16,6,0,1
16,6,0,1
16,6,0,1
16,6,0,1
16,6,0,1
16,6,0,1
16,6,0,1
16,6,0,1
16,6,0,1
16,6,0,1
16,6,0,1
16,6,0,1
16,6,0,1
16,6,0,1
16,6,0,1
16,6,0,1
16,9,0,1
16,10,0,1
16,10,0,1
16,10,0,1
16,11,0,1
16,13,0,1
16,13,0,1
16,17,0,1
16,17,0,1
16,14,0,0
16,14,0,0
16,15,0,0
16,16,0,0
16,17,0,0
16,18,0,0
16,18,0,0
16,18,0,0
16,19,0,0
16,19,0,0
16,20,0,0
16,23,0,0
8,18,0,0
8,19,0,0
8,19,0,0
8,19,0,0
8,20,0,0
8,20,0,0
8,20,0,0
8,21,0,0
8,22,0,0
8,22,0,0
4,18,0,0
4,19,0,0
4,20,0,0
4,20,0,0
4,20,0,0
4,20,0,0
4,21,0,0
4,21,0,0
4,21,0,0
4,21,0,0
4,21,0,0
4,21,0,0
4,21,0,0
4,21,0,0
4,22,0,0
4,22,0,0
4,22,0,0
4,22,0,0
4,22,0,0
4,22,0,0
4,22,0,0
4,22,0,0
4,22,0,0
4,22,0,0
4,22,0,0
4,22,0,0
4,22,0,0
4,22,0,0
4,22,0,0
4,22,0,0
4,22,0,0
4,22,0,0
4,22,0,0
4,22,0,0
4,22,0,0
4,22,0,0
4,23,0,0
4,23,0,0
4,23,0,0
4,23,0,0
4,23,0,0
4,23,0,0
4,24,0,0
4,24,0,0
2,18,0,0
2,21,0,0
2,22,0,0
2,22,0,0
2,22,0,0
2,22,0,0
2,22,0,0
2,23,0,0
2,23,0,0
2,23,0,0
2,23,0,0
2,23,0,0
2,23,0,0
2,23,0,0
2,23,0,0
2,23,0,0
2,23,0,0
2,23,0,0
2,23,0,0
2,23,0,0
2,23,0,0
2,23,0,0
2,23,0,0
2,23,0,0
2,23,0,0
2,23,0,0
2,23,0,0
2,23,0,0
2,23,0,0
2,23,0,0
2,23,0,0
2,23,0,0
2,23,0,0
2,23,0,0
2,23,0,0
2,23,0,0
2,23,0,0
2,24,0,0
2,24,0,0
2,24,0,0
2,24,0,0
2,24,0,0
2,24,0,0
2,24,0,0
2,24,0,0
2,24,0,0
2,24,0,0
2,24,0,0
2,24,0,0
2,24,0,0
2,24,0,0
2,24,0,0
2,24,0,0
2,24,0,0
2,24,0,0
2,24,0,0
2,24,0,0
2,24,0,0
2,24,0,0
2,24,0,0
2,24,0,0
2,24,0,0
2,24,0,0
2,24,0,0
2,25,0,0
2,25,0,0
2,25,0,0
2,25,0,0
2,25,0,0
2,25,0,0
2,25,0,0
2,25,0,0
2,25,0,0
2,25,0,0
2,25,0,0
2,25,0,0
2,25,0,0
1,23,0,0
1,23,0,0
1,24,0,0
1,24,0,0
1,24,0,0
1,24,0,0
1,24,0,0
1,25,0,0
1,25,0,0
1,25,0,0
1,25,0,0
1,25,0,0
1,25,0,0
1,25,0,0
1,25,0,0
1,26,0,0
1,26,0,0
1,26,0,0
1,26,0,0
1,26,0,0
1,27,0,0
0.5,26,0,0
0.5,26,0,0
