MIC,DIA
>16,<6
>16,<6
>16,<6
>16,<6
>16,<6
>16,<6
>16,9
16,<6
16,<6
16,7
16,7
16,8
16,10
16,10
16,10
16,11
16,12
16,12
16,12
8,<6
8,8
8,11
8,14
8,14
8,15
8,15
8,18
8,21
4,<6
4,8
4,10
4,11
4,11
4,12
4,12
4,12
4,13
4,13
4,14
4,14
4,14
4,15
4,15
4,15
4,22
4,23
4,25
2,9
2,11
2,11
2,12
2,12
2,13
2,13
2,13
2,13
2,13
2,13
2,13
2,14
2,14
2,14
2,15
2,15
2,15
2,16
2,16
2,16
2,16
2,16
2,16
2,19
2,20
2,21
2,22
2,23
2,25
2,30
1,13
1,14
1,14
1,15
1,17
1,18
1,20
1,20
1,23
1,24
1,24
1,24
1,25
1,26
1,27
1,29
1,30
1,37
0.5,16
0.5,16
0.5,17
0.5,17
0.5,18
0.5,18
0.5,19
0.5,23
0.5,23
0.5,26
0.5,26
0.5,27
0.5,28
0.5,29
0.5,31
0.5,32
0.5,34
0.5,36
0.5,39
0.25,15
0.25,18
0.25,18
0.25,19
0.25,19
0.25,20
0.25,21
0.25,21
0.25,21
0.25,21
0.25,21
0.25,22
0.25,23
0.25,23
0.25,24
0.25,24
0.25,24
0.25,25
0.25,25
0.25,27
0.25,34
0.25,35
0.25,39
0.25,40
0.25,>42
0.125,20
0.125,20
0.125,21
0.125,21
0.125,22
0.125,24
0.125,24
0.125,24
0.125,25
0.125,25
0.125,25
0.125,27
0.125,27
0.125,27
0.125,28
0.125,28
0.125,28
0.125,29
0.125,29
0.125,31
0.125,33
0.125,35
0.125,36
0.125,36
0.125,37
0.125,38
0.125,39
0.125,39
0.125,39
0.125,39
0.125,39
0.125,40
0.125,40
0.125,40
0.125,41
0.125,41
0.125,>42
0.125,>42
0.125,>42
0.125,>42
0.125,>42
0.125,>42
0.0625,29
0.0625,30
0.0625,32
0.0625,33
0.0625,34
0.0625,35
0.0625,36
0.0625,36
0.0625,36
0.0625,36
0.0625,36
0.0625,36
0.0625,37
0.0625,37
0.0625,37
0.0625,37
0.0625,37
0.0625,37
0.0625,37
0.0625,38
0.0625,38
0.0625,38
0.0625,38
0.0625,38
0.0625,38
0.0625,38
0.0625,39
0.0625,39
0.0625,39
0.0625,39
0.0625,39
0.0625,39
0.0625,40
0.0625,40
0.0625,40
0.0625,40
0.0625,40
0.0625,40
0.0625,40
0.0625,40
0.0625,41
0.0625,41
0.0625,41
0.0625,41
0.0625,41
0.0625,41
0.0625,41
0.0625,>42
0.0625,>42
0.0625,>42
0.0625,>42
0.0625,>42
0.0625,>42
0.0625,>42
0.0625,>42
0.0625,>42
0.0625,>42
0.0625,>42
0.0625,>42
0.0625,>42
0.0625,>42
0.0625,>42
0.0625,>42
<0.03125,32
<0.03125,35
<0.03125,35
<0.03125,35
<0.03125,35
<0.03125,35
<0.03125,35
<0.03125,36
<0.03125,36
<0.03125,36
<0.03125,36
<0.03125,36
<0.03125,37
<0.03125,37
<0.03125,37
<0.03125,37
<0.03125,37
<0.03125,37
<0.03125,37
<0.03125,37
<0.03125,38
<0.03125,38
<0.03125,38
<0.03125,38
<0.03125,38
<0.03125,38
<0.03125,38
<0.03125,38
<0.03125,38
<0.03125,39
<0.03125,39
<0.03125,39
<0.03125,39
<0.03125,39
<0.03125,39
<0.03125,39
<0.03125,39
<0.03125,39
<0.03125,39
<0.03125,39
<0.03125,40
<0.03125,40
<0.03125,40
<0.03125,40
<0.03125,40
<0.03125,40
<0.03125,40
<0.03125,40
<0.03125,40
<0.03125,40
<0.03125,40
<0.03125,40
<0.03125,40
<0.03125,41
<0.03125,41
<0.03125,41
<0.03125,41
<0.03125,41
<0.03125,41
<0.03125,41
<0.03125,41
<0.03125,41
<0.03125,41
<0.03125,41
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
<0.03125,>42
